Material Name,Symbol,Category,Phase,t_min (K),t_max (K),A,B,C,D,Max Fit Error (%),R²,Molecular Weight (g/mol),NASA Species (ref),Reference Code,Source / Notes
K2O,K2O,Other technologically relevant materials,c,298.15,590,51.056709,70.2416,0,0,0,1,94.196,K2O(c),tpis82,"III Cubic. Gurvich,1982 pt1 p377 pt2 p406."
K2O,K2O,Other technologically relevant materials,b,590,645,99.99943,0,0,0,0,1,94.196,K2O(b),tpis82,"II Cubic. Gurvich,1982 pt1 p377 pt2 p406."
K2O,K2O,Other technologically relevant materials,a,645,1013,99.99943,0,0,0,0,1,94.196,K2O(a),tpis82,"I Tetragonal. Gurvich,1982 pt1 p377 pt2 p406."
K2O,K2O,Other technologically relevant materials,L,1013,6000,99.99943,0,0,0,0,1,94.196,K2O(L),tpis82,"Liquid. Gurvich,1982 pt1 p377 pt2 p406."
K2O2,K2O2,Other technologically relevant materials,cr,298.15,818,76.087566,50.013715,0,0,0,1,110.1954,K2O2(cr),tpis82,"Rhombic. Gurvich,1982 pt1 p379 pt2 p409."
K2O2,K2O2,Other technologically relevant materials,L,818,6000,133.999236,0,0,0,0,1,110.1954,K2O2(L),tpis82,"Liquid. Gurvich,1982 pt1 p379 pt2 p409."
K2S,K2S,Other technologically relevant materials,cr,298.15,600,66.976473,25.587005,1.055261,-0.950873,0.014,1,110.2616,K2S(cr),j,"Below lambda. Chase,1998 pp1486-8."
K2S,K2S,Other technologically relevant materials,cr,600,825,410.496545,-1521.871576,2284.644543,-1107.655292,2.322,0.95022,110.2616,K2S(cr),j,"Below lambda. Chase,1998 pp1486-8."
K2S,K2S,Other technologically relevant materials,cr,825,1050,1634.189649,-4044.652729,2949.270155,-383.009368,0.532,0.99997,110.2616,K2S(cr),j,"Below lambda. Chase,1998 pp1486-8."
K2S,K2S,Other technologically relevant materials,cr,1050,1100,1300.55827,-1052.930108,0,0,0,1,110.2616,K2S(cr),j,"Above lambda. Chase,1998 pp1486-8."
K2S,K2S,Other technologically relevant materials,cr,1100,1221,142.335151,0,0,0,0,1,110.2616,K2S(cr),j,"Above lambda. Chase,1998 pp1486-8."
K2S,K2S,Other technologically relevant materials,L,1221,6000,100.959345,0,0,0,0,1,110.2616,K2S(L),j,"Chase,1998 pp1486-8."
K2SO4,K2SO4,Other technologically relevant materials,II,200,500,26.962329,600.766046,-1102.11612,873.991621,0.728,0.99981,174.2592,K2SO4(II),tpis82,"Rhombic. Gurvich,1982 pt1 p402 pt2 p428."
K2SO4,K2SO4,Other technologically relevant materials,II,500,857,87.40862,159.830217,-32.189806,12.694868,0.004,1,174.2592,K2SO4(II),tpis82,"Rhombic. Gurvich,1982 pt1 p402 pt2 p428."
K2SO4,K2SO4,Other technologically relevant materials,I,857,1342,937.081322,-1925.099521,1559.807693,-379.215758,0.191,0.99995,174.2592,K2SO4(I),tpis82,"Hexagonal. Gurvich,1982 pt1 p402 pt2 p428."
K2SO4,K2SO4,Other technologically relevant materials,L,1342,6000,199.99886,0,0,0,0,1,174.2592,K2SO4(L),tpis82,"Liquid. Gurvich,1982 pt1 p402 pt2 p428."
K2SiO3,K2SiO3,Ceramics,cr,200,500,12.321438,627.969565,-1171.721814,832.569319,0.501,0.99992,154.2803,K2SiO3(cr),tpis82,"Rhombic. Gurvich,1982 pt1 p412 pt2 p436."
K2SiO3,K2SiO3,Ceramics,cr,500,1249,95.415843,103.540464,-45.874839,14.121194,0.089,0.99999,154.2803,K2SiO3(cr),tpis82,"Rhombic. Gurvich,1982 pt1 p412 pt2 p436."
K2SiO3,K2SiO3,Ceramics,L,1249,6000,189.998917,0,0,0,0,1,154.2803,K2SiO3(L),tpis82,"Liquid. Gurvich,1982 pt1 p412 pt2 p436."
K2Si2O5,K2Si2O5,Ceramics,a,200,510,40.664421,535.165354,-419.354638,-67.702941,0.46,0.99953,214.3646,K2Si2O5(a),tpis82,"III. Gurvich,1982 pt1 p413 pt2 p437."
K2Si2O5,K2Si2O5,Ceramics,b,510,867,135.221891,158.580223,-74.795,29.065948,0.007,1,214.3646,K2Si2O5(b),tpis82,"II. Gurvich,1982 pt1 p413 pt2 p437."
K2Si2O5,K2Si2O5,Ceramics,c,867,1318,224.223722,4.417975,0,0,0,1,214.3646,K2Si2O5(c),tpis82,"I. Gurvich,1982 pt1 p413 pt2 p437."
K2Si2O5,K2Si2O5,Ceramics,L,1318,6000,274.998433,0,0,0,0,1,214.3646,K2Si2O5(L),tpis82,"Gurvich,1982 pt1 p413 pt2 p437."
K3ALF6,K3ALF6,Other technologically relevant materials,II,298.15,600,152.869129,235.21466,0,0,0,1,258.2669,K3ALF6(II),tpis82,"Tetragonal. Gurvich,1982 pt1 p418 pt2 p442."
K3ALF6,K3ALF6,Other technologically relevant materials,I,600,1273,240.538629,55.769682,0,0,0,1,258.2669,K3ALF6(I),tpis82,"Cubic. Gurvich,1982 pt1 p418 pt2 p442."
K3ALF6,K3ALF6,Other technologically relevant materials,L,1273,6000,392.99776,0,0,0,0,1,258.2669,K3ALF6(L),tpis82,"Liquid. Gurvich,1982 pt1 p418 pt2 p442."
Lithium,Li,Metals and alloys,cr,200,298.15,5.342817,134.656794,-341.177459,365.972168,0.012,1,6.941,Li(cr),tpis82,"Crystal. Ref-Elm. Gurvich,1982 pt1 p245 pt2 p286."
Lithium,Li,Metals and alloys,cr,298.15,453.69,46.041149,-185.272744,486.02454,-345.498864,0.042,0.99999,6.941,Li(cr),tpis82,"Crystal. Ref-Elm. Gurvich,1982 pt1 p245 pt2 p286."
Lithium,Li,Metals and alloys,L,453.69,6000,32.171825,-6.105944,2.861546,-0.02026,1.272,0.99999,6.941,Li(L),tpis82,"Liquid. Ref-Elm. Gurvich,1982 pt1 p245 pt2 p286."
LiALO2,LiALO2,Ceramics,cr,200,700,-26.374616,504.040651,-743.721066,390.866453,0.755,0.99968,65.9213,LiALO2(cr),j12/79,"Chase,1998 pp126-8."
LiALO2,LiALO2,Ceramics,cr,700,1973,73.568545,42.846129,-18.099839,3.662758,0.207,0.99992,65.9213,LiALO2(cr),j12/79,"Chase,1998 pp126-8."
LiALO2,LiALO2,Ceramics,L,1973,6000,125.519285,0,0,0,0,1,65.9213,LiALO2(L),j12/79,"Chase,1998 pp126-8."
LiBO2,LiBO2,Ceramics,cr,200,500,-23.9997,466.280858,-770.794106,499.483719,0.701,0.99996,49.7508,LiBO2(cr),tpis82,"Monoclinic. Gurvich,1982 pt1 p298 pt2 p331."
LiBO2,LiBO2,Ceramics,cr,500,1122,36.285466,108.844584,-56.234463,18.629097,0.1,0.99999,49.7508,LiBO2(cr),tpis82,"Monoclinic. Gurvich,1982 pt1 p298 pt2 p331."
LiBO2,LiBO2,Ceramics,L,1122,6000,144.399177,0,0,0,0,1,49.7508,LiBO2(L),tpis82,"Liquid. Gurvich,1982 pt1 p298 pt2 p331."
LiBr,LiBr,Other technologically relevant materials,cr,200,500,20.257446,209.697975,-501.914938,438.134281,0.36,0.99778,86.845,LiBr(cr),tpis82,"Cubic. Gurvich,1982 pt1 p284 pt2 p317."
LiBr,LiBr,Other technologically relevant materials,cr,500,823,43.66987,16.890295,10.519861,-4.253333,0.003,1,86.845,LiBr(cr),tpis82,"Cubic. Gurvich,1982 pt1 p284 pt2 p317."
LiBr,LiBr,Other technologically relevant materials,L,823,6000,65.299628,0,0,0,0,1,86.845,LiBr(L),tpis82,"Liquid. Gurvich,1982 pt1 p284 pt2 p317."
LiCL,LiCL,Other technologically relevant materials,cr,200,500,27.795678,106.266514,-159.996373,105.364424,0.816,0.99955,42.394,LiCL(cr),tpis82,"Cubic. Gurvich,1982 pt1 p279 pt2 p313."
LiCL,LiCL,Other technologically relevant materials,cr,500,883,38.730703,39.71127,-22.376936,8.662292,0.01,1,42.394,LiCL(cr),tpis82,"Cubic. Gurvich,1982 pt1 p279 pt2 p313."
LiCL,LiCL,Other technologically relevant materials,L,883,6000,63.19964,0,0,0,0,1,42.394,LiCL(L),tpis82,"Liquid. Gurvich,1982 pt1 p279 pt2 p313."
LiF,LiF,Other technologically relevant materials,cr,200,500,-12.472314,347.465349,-714.133139,533.35926,0.241,0.99989,25.9394,LiF(cr),tpis82,"Cubic. Gurvich,1982 pt1 p273 pt2 p309."
LiF,LiF,Other technologically relevant materials,cr,500,1122,33.338484,42.685645,-26.061676,9.20929,0.079,0.99999,25.9394,LiF(cr),tpis82,"Cubic. Gurvich,1982 pt1 p273 pt2 p309."
LiF,LiF,Other technologically relevant materials,L,1122,6000,63.799636,0,0,0,0,1,25.9394,LiF(L),tpis82,"Liquid. Gurvich,1982 pt1 p273 pt2 p309."
